rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20180402004758,11011,2017,00296078,054620,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 22 기,2017.12.31 현재,"744,178,477,797",제 21 기,2016.12.31 현재,"75,304,989,035",제 20 기,2015.12.31 현재,"48,905,141,105",17,KRW
20180402004758,11011,2017,00296078,054620,CFS,연결재무제표,BS,재무상태표,자본총계,제 22 기,2017.12.31 현재,"183,276,181,858",제 21 기,2016.12.31 현재,"206,954,851,069",제 20 기,2015.12.31 현재,"109,625,296,865",21,KRW
20180402004758,11011,2017,00296078,054620,CFS,연결재무제표,IS,손익계산서,매출액,제 22 기,2017.01.01 ~ 2017.12.31,"87,934,027,389",제 21 기,2016.01.01 ~ 2016.12.31,"24,271,553,737",제 20 기,2015.01.01 ~ 2015.12.31,"293,175,235,015",23,KRW
20180402004758,11011,2017,00296078,054620,CFS,연결재무제표,IS,손익계산서,영업이익,제 22 기,2017.01.01 ~ 2017.12.31,"256,404,943",제 21 기,2016.01.01 ~ 2016.12.31,"-2,321,617,381",제 20 기,2015.01.01 ~ 2015.12.31,"12,131,390,844",25,KRW
20180402004758,11011,2017,00296078,054620,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 22 기,2017.01.01 ~ 2017.12.31,"-18,297,267,747",제 21 기,2016.01.01 ~ 2016.12.31,"-5,259,734,388",제 20 기,2015.01.01 ~ 2015.12.31,"10,408,266,519",27,KRW
20180402004758,11011,2017,00296078,054620,CFS,연결재무제표,IS,손익계산서,당기순이익,제 22 기,2017.01.01 ~ 2017.12.31,"670,121,253,014",제 21 기,2016.01.01 ~ 2016.12.31,"27,483,960,690",제 20 기,2015.01.01 ~ 2015.12.31,"7,804,343,743",29,KRW
20180402004758,11011,2017,00296078,054620,OFS,재무제표,BS,재무상태표,유동자산,제 22 기,2017.12.31 현재,"64,435,891,405",제 21 기,2016.12.31 현재,"331,110,056,247",제 20 기,2015.12.31 현재,"139,164,322,680",2,KRW
20180402004758,11011,2017,00296078,054620,OFS,재무제표,BS,재무상태표,비유동자산,제 22 기,2017.12.31 현재,"135,124,750,397",제 21 기,2016.12.31 현재,"184,661,943,170",제 20 기,2015.12.31 현재,"122,298,565,808",4,KRW
20180402004758,11011,2017,00296078,054620,OFS,재무제표,BS,재무상태표,자산총계,제 22 기,2017.12.31 현재,"199,560,641,802",제 21 기,2016.12.31 현재,"515,771,999,417",제 20 기,2015.12.31 현재,"261,462,888,488",6,KRW
20180402004758,11011,2017,00296078,054620,OFS,재무제표,BS,재무상태표,유동부채,제 22 기,2017.12.31 현재,"4,285,818,272",제 21 기,2016.12.31 현재,"273,445,327,560",제 20 기,2015.12.31 현재,"133,685,759,697",8,KRW
